"","Bemerkungen_22","Gefunden","Hoehe_22","Anzahl.Triebe_22","Einjaehriger.Saemling_22","ETS.abgestorben.frisch_22","ETS.abgestorben.alt_22","ETS.lebend_22","Verbiss.lebend_22","Verbiss.tot_22","Sonstige.Gruende.tot_22","Gruene.Hoehe_22","Aceria.fraxinivora_22","Nicht.gerade_22","ETS.abgestorben.frisch.terminal_22","ETS.abgestorben.alt.terminal_22","ETS.lebend.terminal_22","Verbiss.lebend.terminal_22","Verbiss.tot.terminal_22","Sonstige.Gruende.tot.terminal_22","Aceria.fraxinivora.terminal_22","Reihenfolge","Tot_22","mehr.ressourcen","nochmal.checken","ETS_22","Triebe.lebend","ID"
"1","",TRUE,10,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,FALSE,FALSE,FALSE,FALSE,0,"8908NW"
"2","",TRUE,11,3,FALSE,0,0,0,0,0,3,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,76,FALSE,FALSE,FALSE,FALSE,0,"8910NO"
"3","",TRUE,6,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,90,FALSE,FALSE,FALSE,FALSE,0,"8911MITTE"
"4","",TRUE,8,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,95,FALSE,FALSE,FALSE,FALSE,0,"8913SW"
"5","",TRUE,3,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,110,FALSE,FALSE,FALSE,FALSE,0,"8916SW"
"6","",TRUE,21,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,137,FALSE,FALSE,FALSE,FALSE,0,"8919SW"
"7","",TRUE,10,2,FALSE,0,0,0,0,0,2,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,143,FALSE,FALSE,FALSE,FALSE,0,"8920NW"
"8","",TRUE,4,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,204,FALSE,FALSE,FALSE,FALSE,0,"8927SO"
"9","ganz  tot",TRUE,6,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,266,TRUE,FALSE,FALSE,FALSE,0,"8931MITTE"
"10","tot",TRUE,22,4,FALSE,0,0,0,0,0,4,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,TRUE,FALSE,FALSE,FALSE,0,"8934MITTE"
"11","tot",TRUE,19,2,FALSE,0,0,0,0,0,2,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,303,TRUE,FALSE,FALSE,FALSE,0,"8934SW"
"12","",TRUE,14,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,311,FALSE,FALSE,FALSE,FALSE,0,"8936NO"
